Title,Description,Tips
"Melon Seeds Golden Honeymoon","A honeydew melon with a brilliant, gold rind and delicious green flesh; unique flavor. Two weeks earlier than regular honeydew; excellent yields. Will rarely sunburn; a great keeper, unique and rare! 90 Days Full Sun Seed Depth: 1/2\" Sprouts in 7-14 Days Ideal Temperature: 75-90 Degrees F Plant Spacing: 18\" Frost Hardy: No Cucumis melo"," Melons prefer slightly sandy, very rich, well-drained soil. Be careful not to over water vines, especially as fruit is approaching maturity."
"Melon Seeds Golden Jenny","An outstanding golden-meated version of Jenny Lind, developed by longtime friend and the late master seed saver Merlyn Niedens. Short vines just go wild producing these succulent, sweet 2- lb. beauties. Give this one a try at upscale markets. Early and productive. 85 Days Full Sun Seed Depth: 1/2\" Sprouts in 7-14 Days Ideal Temperature: 75-90 Degrees F Plant Spacing: 18\" Frost Hardy: No Cucumis melo","Melons prefer slightly sandy, very rich, well-drained soil. Be careful not to over water vines, especially as fruit is approaching maturity."
"Melon Seeds Hale's Best 45","A classic, silky-fleshed super sweet market muskmelon from the early 20th century. In 1923, I.D. Hale encountered a Japanese American market farmer growing this variety in Imperial County (near Brawley, California). This sweet, smooth, orange-fleshed melon has been a staple for home and market growers since!85 DaysFull SunSprouts in 7-14 DaysSeed Depth: 1/2\"Ideal Temperature: 75-90 Degrees FPlant Spacing: 18\"Frost Hardy: NoCucumis melo"," Melons prefer slightly sandy, very rich, well-drained soil. Be careful not to over water vines, especially as fruit is approaching maturity."
"Melon Seeds Hara Madhu","This gorgeous teardrop- shaped melon from Punjab, India, is dripping with sweetness, boasting a sky-high  sugar brix level and exquisite flavor. Introduced in 1967 by Punjab Agricultural University in Ludhiana, India, the Hara Madhu is an improvement on several old local landrace varieties from what is now the state of Haryana, just south of Punjab. Its incredible flavor is a testament to the local flavors of the region. It is improved to grow vigorously in a wide range of climates, including the U.S. 10- to 12- foot long vines produce plenty of 2-3 pound fruit that are striped green and cream, with a white flesh and a shorter shelf life.90 days8-12 hours of SunSprouts in 7-14 DaysIdeal Temperature: 75-90 Degrees FSeed Depth: 1/2\"Plant Spacing: 18\"Frost Hardy: NoCucumis melo","Melons prefer slightly sandy, very rich, well-drained soil. Be careful not to over water vines, especially as fruit is approaching maturity."
"Melon Seeds Honeydew Orangeflesh","The crisp and crunchy texture of a honeydew with fragrant orange flesh and a complex muskmelon and honeydew flavor! Light green, smooth skin; cantaloupe-colored orange flesh. A unique twist with sublime flavor! 90 daysFull SunSeed Depth: 1/2\"Sprouts in 7-14 Days Ideal Temperature: 75-90 Degrees F Plant Spacing: 18\" Frost Hardy: No Cucumis melo","Melons prefer slightly sandy, very rich, well-drained soil. Be careful not to over water vines, especially as fruit is approaching maturity."
"Melon Seeds Japanese Tiger","This pocket sized melon is a Japanese delicacy, with crisp, sweet flesh and beautiful tiger striped skin. These melons top out at 10-12 ounces each. Vines will produce profusions of these tasty striped cucurbits. In Japan these are savored as a yummy dessert, or added or salads and savory preparations—a great all-purpose melon! Sprouts: 7 - 14 daysIdeal Temp: 75 - 90 Seed Depth: 1/2 inchPlant Spacing: 18\"Frost Hardy: NoFull SunCucumis melo","Melons prefer slightly sandy, very rich, well-drained soil. Be careful not to overwater vines, especially as fruit is approaching maturity."
"","Lusciously sweet, wildly productive, and easy to grow, this green-fleshed melon is named for Jenny Lind, the famous 19th century Swedish soprano whose American tour made her a superstar. The melon first appeared in Philadelphia markets around 1840. It was a new selection of an older variety called the Centre melon, said to have originated in Armenia. It is not entirely clear how the turban-shaped melon with the distinctive knob on its bottom end came to be named for the “Swedish Nightingale,” but references to it as such began appearing just a few years after Jenny Lind wrapped up her two-year tour of America in 1852. In its day, the Jenny Lind did not spread much beyond the mid-Atlantic region, though today it is a culinary classic!80 daysFull SunSeed Depth: 1/2\"Sprouts in 7-14 DaysIdeal Temperature: 75-90 Degrees FPlant Spacing: 18\"Frost Hardy: NoCucumis melo","Melons prefer slightly sandy, very rich, well-drained soil. Be careful not to over water vines, especially as fruit is approaching maturity."
"Melon Seeds Kajari","Easy to grow, early and so productive. The flavor is world class. The perfect variety for most gardens, the best overall melon we carry! This amazing classic Indian melon was collected by Joseph Simcox. The fruit is a brilliant copper red and is striped in green and cream, making this an extremely unusual and beautiful melon.  The pale green flesh is sweet, aromatic and slightly musky in taste. Joe believes that this melon originated in the Punjab, and he spent more than 8 years trying to find seeds of this extremely interesting variety. Vine produces lots of 2-lb fruit. Customer favorite!70 daysFull SunSprouts in 7-14 DaysIdeal Temperature: 75-90 Degrees FSeed Depth: 1/2 inchPlant Spacing: 18\"Frost Hardy: NoCucumis melo","Melons prefer slightly sandy, very rich, well-drained soil. Be careful not to over water vines, especially as fruit is approaching maturity."
"Melon Seeds Kiku Chrysanthemum","A very rare and historic selection from Japan, this compact melon is ideal for pots. It is named for the Japanese chrysanthemum flower, which it is said to resemble. One of the best melons we found in Japan, with an incredibly unique flavor. Early and very productive. Its mellow, creamy flesh tastes like Greek yogurt with a hint of lychee; the flavor has also been compared to pear. The origin of Kiku melon is the Makuwa Uri melon, which came to Japan from China sometime in antiquity.Full SunSprouts in 7-14 DaysIdeal Temperature: 75-90 Degrees FSeed Depth: 1/2 inchPlant Spacing: 18\"Frost Hardy: NoCucumis melo","Melons prefer slightly sandy, very rich, well-drained soil. Be careful not to over water vines, especially as fruit is approaching maturity."
"Melon Seeds Madhu Ras Rajasthan Honey","This is a small but delicious melon from Rajasthan, India. The name Madhu Ras means honey melon, an appropriate name for such a sweet fruit. These melons thrive in the hot and dry conditions of western India, and  they will grow in similar conditions in the U.S.  One of our favorites in trials, the flesh is soft and silky with a classic muskmelon taste. This is a rare find brought to us from Botanical Explorer Joseph Simcox, who found this special heirloom at a market in Delhi, India. 95 daysFull SunSprouts in 7-14 DaysIdeal Temperature: 75-90 Degrees FSeed Depth: 1/2 inchPlant Spacing: 18\"Frost Hardy: NoCucumis melo","Melons prefer slightly sandy, very rich, well-drained soil. Be careful not to over water vines, especially as fruit is approaching maturity."
"Melon Seeds Model","Crisp, juicy texture and electrifying green flesh; the sugary flavor is amazing! The green orb-shaped fruit is lightly netted. The green flesh is thick, very aromatic and sweet. This uniform and pleasingly perfect heirloom variety is one of the finest flavored that we have tried, always winning our hearts at annual melon tasting trials. Hailing from Poland, these melons are about two to three pounds each. Extra fancy looking!75 daysFull SunSprouts in 7-14 DaysIdeal Temperature: 75-90 Degrees FSeed Depth: 1/2 inchPlant Spacing: 18\"Frost Hardy: NoCucumis melo","Melons prefer slightly sandy, very rich, well-drained soil. Be careful not to over water vines, especially as fruit is approaching maturity."
"Melon Seeds Petit Gris de Rennes","Dense, 2- to 4- lb fruit has orange flesh that is superbly sweet, flavorful, and perfumed. This variety is early and well adapted to cool climates. This fine French variety is of the best quality and is the favorite melon of the French melon expert and author Bruno Defay. Rare in the U.S. One of our most requested market melons; specialty growers love them! We continue to receive rave reviews about this melon, which is surely one of the best Charentais types.85 daysFull SunSprouts in 7-14 DaysIdeal Temperature: 75-90 Degrees FSeed Depth: 1/2 inchPlant Spacing: 18\"Frost Hardy: NoCucumis melo","Melons prefer slightly sandy, very rich, well-drained soil. Be careful not to over water vines, especially as fruit is approaching maturity."
"Milkweed Seeds Butterfly Weed","The hardy native milkweed is essential to the survival of monarch butterflies. Mature butterflies feed on the nectar produced in the flowers, while the foliage provides food for their larvae. The brilliant orange and yellow flowers are showy in massed plantings, but fascinating up close, with their intricate detail. The three-foot plant is native throughout the eastern and southern regions of the country, usually preferring drier sites, and should be hardy except at very high elevations. Very durable and long-lived once established, and may gently increase on its own in favorable locations. CAUTION: The milky sap is poisonous if ingested in large quantities, and contact with the skin may cause dermatitis in sensitive individuals.Perennial6-12 hours of SunSprouts in 14-21 DaysIdeal Temperature: 65-70 Degrees FSeed Depth: 1/4-1/2\"Plant Spacing: 12-24\"Frost Hardy: YesAsclepias tuberosa","Can be started indoors 6-8 weeks ahead of last frost, or direct sown outdoors. ATTENTION: The milky sap is poisonous if ingested in large quantities; contact with the skin may cause dermatitis in sensitive individuals."
"Milkweed Seeds Gay Butterflies","A citrusy mix of Meyer lemon, tangerine and orange-colored blooms make this a fiery addition to the pollinator garden. Plants stand 24-28 inches tall, topped with cheerful sunshine tones and absolutely buzzing with pollinator action as they bloom from mid to late summer. The fragrant flowers are irresistible to butterflies, hummingbirds, bees, and other beneficial insects. This is an absolute must have for promoting pollinator diversity in the garden. It is also a host plant for the imperiled monarch caterpillar. Try these fairly drought-tolerant plants in beds, borders, planters, and the landscape or meadow. Perennial in zones 3-98-12 hours of SunSprouts in 14-21 DaysIdeal Temperature: 70 Degrees FSeed Depth: 1/8\"Plant Spacing: 2-3'Frost Hardy: NoAsclepias tuberosa","Plants reach 1-3 feet in height, good for container or landscaping. Prefers well-drained soil. Heat-and sun-loving plant, keep well watered. (CAUTION: The milky sap is poisonous if ingested in large quantities, and contact with the skin may cause dermatitis in sensitive individuals.) "
"Milkweed Seeds Hello Yellow","This vibrant yellow milkweed is just the ticket to add sunshine to your garden and beckon droves of beneficial insects! Plants stand 1.5- to 3- feet tall and are topped with umbels of lemon yellow blooms, which are wildly attractive to butterflies, bees, hummingbirds, and other native pollinators. Drought tolerant once established, this is a great choice for meadows, low-water landscaping, beds, borders, and even the cutting garden. Milkweed is the sole food source of the imperiled monarch caterpillar. (CAUTION: The milky sap is poisonous if ingested in large quantities, and contact with the skin may cause dermatitis in sensitive individuals.)Perennial in zones 3-96-12 hours of SunSprouts in 14-21 DaysIdeal Temperature: 65-70 Degrees FSeed Depth: 1/4-1/2\"Plant Spacing: 12-24\"Frost Hardy: YesAsclepias tuberosa","Can be started indoors 6-8 weeks ahead of last frost, or direct sown outdoors. ATTENTION: The milky sap is poisonous if ingested in large quantities; contact with the skin may cause dermatitis in sensitive individuals."
"Milkweed Seeds Ice Ballet","A super pollinator magnet! The bees could not get enough of these icy-white blooms at our trial gardens in Missouri. This 3-foot-tall milkweed produces lovely white flower umbels that beckon an incredible diversity of beneficial insects and pollinators as they bloom from mid to late summer. A perfect choice for the meadow, cottage garden, beds and borders and, of course, pollinator gardens! Perennial in zones 3-98-12 hours of SunSprouts in 14-21 DaysIdeal Temperature: 70 Degrees FSeed Depth: 1/8\"Plant Spacing: 2-3'Frost Hardy: NoAsclepias incarnata","Plants reach 1-3 feet in height, good for container or landscaping. Prefers well-drained soil. Heat-and sun-loving plant, keep well watered."
"Milkweed Seeds Red or Swamp","Rosy-pink-flowered milkweed that is the best choice for moist locations, as it is native to wet ground throughout much of North America. Supports the monarch and other butterfly populations as well as bees and hummingbirds. The sweet vanilla fragrance and large numbers of flowers support the gardener’s enjoyment as well. May reach 5 feet tall in favored locations. CAUTION: The milky sap is poisonous if ingested in large quantities, and contact with the skin may cause dermatitis in sensitive individuals.Perennial6-12 hours of SunSprouts in 14-21 DaysIdeal Temperature: 65-70 Degrees FSeed Depth: 1/4-1/2\"Plant Spacing: 12-24\"Frost Hardy: YesAsclepias incarnata","Can be started indoors 6-8 weeks ahead of last frost, or direct sown outdoors. ATTENTION: The milky sap is poisonous if ingested in large quantities; contact with the skin may cause dermatitis in sensitive individuals."
"Milkweed Seeds Showy","A gorgeous pollinator attractor plant that is host to the monarch butterfly and others. A native milkweed of the western half of the U.S., this herbaceous perennial will bloom from May to September. The ornamental blooms are like fireworks bursting in lavender to pale rose colors. This beneficial insect magnet provides food and habitat to the monarch butterfly and is a larval host to dogbane tiger moth and queen butterfly; the apple clearwing moth is attracted to this plant as well. Plants can grow up to 5 feet tall. 6-12 hours of SunSprouts in 14-21 DaysIdeal Temperature: 65-70 Degrees FSeed Depth: 1/4-1/2\"Plant Spacing: 12-24\"Frost Hardy: YesAsclepias speciosa","Can be started indoors 6-8 weeks ahead of last frost, or direct sown outdoors. ATTENTION: The milky sap is poisonous if ingested in large quantities; contact with the skin may cause dermatitis in sensitive individuals."
"Milkweed Seeds Soulmate","A vanilla-scented swamp milkweed with gorgeous ballet slipper pink blooms. Pollinators cannot resist this mid- to late-summer bloomer! The flower umbels will be covered in a haze of beneficial insect action, from bees to butterflies and even hummingbirds! The monarch butterfly is especially fond of this variety. Plants reach just over 3 feet tall and are fantastic in the meadow, cottage garden, beds, borders, and, of course, pollinator gardens! Perennial in zones 3-98-12 hours of SunSprouts in 14-21 DaysIdeal Temperature: 70 Degrees FSeed Depth: 1/8\"Plant Spacing: 2-3'Frost Hardy: NoAsclepias incarnata","Plants reach 1-3 feet in height, good for container or landscaping. Prefers well-drained soil. Heat-and sun-loving plant, keep well watered."
"Tweedia Seeds Heavenly Blue","Wow! A true blue-flowered milkweed that makes an excellent cut flower and will attract a range of pollinators! Tweedia is native to South America, where it grows as a scrambling vine. As an annual it will average about 2 feet tall. Beware of irritating and toxic sap when cut. Perennial zones 10-11, frost-tender annual in cooler zones. Easy-to-grow & fast blooming. 8-12 hours of SunSprouts in 14-21 DaysIdeal Temperature: 70 Degrees FSeed Depth: 1/8\"Plant Spacing: 2-3'Frost Hardy: NoOxypetalum coeruleum","Plants reach 1-3 feet in height, good for container or landscaping. Prefers well-drained soil. Heat-and sun-loving plant, keep well watered. (CAUTION: The milky sap is poisonous if ingested in large quantities, and contact with the skin may cause dermatitis in sensitive individuals.)"
"Mint Plants Chewing Gum (3 plants) ships prompt","(Mentha spicata) The dark green leaves with mahogany undertones have an intense spearmint flavor and aroma. Fresh or dried, the leaves are wonderful in teas, jellies, candies, and savory dishes. The plant grows 10 to 18 inches tall, with leaves one to two inches long. Mint thrives in full sun to part shade and well-drained soil. This plant is hardy and perennial in USDA zones 5-11. A friendly reminder that mint will overtake garden beds unless it is contained.Learn More >>",""
"Mint Plants Double (3 plants) Ships prompt","Doublemint is a cross between spearmint and peppermint. It is hardy in zones 3-9. Since peppermint itself is crossed with spearmint too, you can imagine this variety presenting a crisp forward spearmint flavor with a pop of peppermint to finish. It works well for all dishes and drinks you truly want a pronounced mint essence in. This is a true mint and does like to spread and creep across the garden, so consider growing in containers. Unlike Thai mint's upright growing habit, Doublemint desires to grow thick horizontal vines that weave together resembling a ground cover. This mint is vigorous in growth as much as it is powerful in its flavor profile!   Learn More >>",""
"Mint Plants Thai (3 plants) Ships prompt","Mentha arvensis. Perennial USDA zones 5-9. This is the delicious unmistakable mint of Thai cuisine. We love this refreshing herb in so many recipes, it is versatile and mouth watering. Mature plants reach about 18-20 inches tall and should be spaced about 2 feet apart. Ideal for a medium sized, 12 inch pot. This is a true mint and does like to spread and creep across the garden, so consider growing in containers and giving regular haircuts! Please consider these terms before ordering live plants: Most plants will be 3”-7” in height. All plants will ship prompt weekly as available from the first of March to the end of May. Please make sure you are ready for your order in your zone as these young, tender plants generally have no resistance to cold.  Learn More >>WARNING: PLANTS ARE VERY YOUNG AND TENDER. DO NOT PUT THEM OUTSIDE UNTIL ALL DANGER OF FROST HAS PASSED.",""
"Sweet Herb Plants Aztec (3 plants) Ships promt","(Lippia dulcis)Aztec Sweet Herb (tzopelicxihiutlin Nahuatl, the Aztec language) is surprisingly sweet. Because it contains camphor, its traditional uses included treating coughs and other respiratory ailments. We discourage the consumption of this plant and recommend it as an ornamental plant only. Aztec Sweet Herb spreads easily and produces small white flower clusters in spring and fall. The green foliage is dense,low growing, and spreads like mint. Aztec Sweet Herb makes a very good container plant. It is perennial in warmer climates and easy to grow as an annual as well.Learn More >>",""
"Calamintha Seeds Marvelette Blue","The fantastic minty, floral fragrance will permeate your senses wherever Marvelette Blue is planted! The compact, bushy plants with loose spikes of understated blue flowers emit a scent that is cool and minty, with a touch of rose. This makes a stunning herbal tea; you’ll find yourself brewing cup after cup served hot or iced! Popular with a range of pollinators, especially butterflies. 8- to 10-inch-tall plants form tidy clumps; it is not an aggressive spreading perennial.Perennial in zones 4-96-12 hrs of SunSprouts in 7-21 DaysIdeal Temperature: 60-70 FSeed Depth: 1/8\"Plant Spacing: 18\"Frost Hardy: YesCalamintha nepeta","Perennial zones 4-9. Plant in full sun and provide well-drained soil and regular watering."
"Calamintha Seeds Marvelette White","Pollinators will flock to these aromatic blooms! The compact, bushy plants reach 8 to 10 inches tall and are frosted in snow-white blooms. Phenomenal for brewing into tea and served iced or hot. Popular with a range of pollinators, especially butterflies. Full-sun-loving, deer-resistant plants form tidy clumps; it is not an aggressive spreading perennial. Flowers in first year. Perennial zones 5-7 Sprouts: 7 - 21 daysIdeal Temp: 60 - 70 Seed Depth: 1/8 inchPlant Spacing: 18\"Frost Hardy: YesFull to Partial Sun​​Calamintha nepeta","Prefers part shade to full sun. Provide moist, well-drained soil. Space plants 18-24 inches apart. Plant reaches 6-12 inches. "
"Catmint Seeds Dark Blue Panther","Compact and tidy, this Japanese catmint and its mesmerizing blue blooms attract a range of pollinators. The plants reach just 12-20 inches tall and fit perfectly into beds, borders, and containers. Nepeta subsessilis is also known as Japanese catmint. The blooms are larger than other types of catmints, and we especially appreciate the fragrance of the flowers. This bushy and colorful mounding plant is technically a perennial, but it will bloom in the first year and can be treated as an annual. Perennial in zones 4-98-12 hrs of SunSprouts in 7-14 DaysIdeal Temperature: 70-75 FSeed Depth: Surface SowPlant Spacing: 12-18\"Frost Hardy: NoNepeta subsessilis","Surface sow, gently pressing into soil; cover lightly. Alternately you can start indoors and transplant after last frost. Shear plants occasionally to renew them; self-sows readily. Same genus and species as catnip, but catmint grows in more tidy clumps and does not reseed as easily. Catmint is more ornamental and a bit less tolerant of poor soil and prefers loose, well-drained soil."
"Catmint Seeds Grandview","Soft pastel blue, pink and white flower spikes combine for a romantic effect. Cats won’t be the only ones loving this colorful mix; it’s also a major pollinator magnet! Plants reach 1 to 2 feet in height and about 1 to 1.5 feet wide, blooming in high summer, attracting songbirds, hummers, butterflies and bees.Perennial in zones 3-78-12 hrs of SunSprouts in 7-14 DaysIdeal Temperature: 70-75 FSeed Depth: Surface SowPlant Spacing: 12-18\"Frost Hardy: NoNepeta subsessilis","Surface sow, gently pressing into soil; cover lightly. Alternately you can start indoors and transplant after last frost. Shear plants occasionally to renew them; self-sows readily. Same genus and species as catnip, but catmint grows in more tidy clumps and does not reseed as easily. Catmint is more ornamental and a bit less tolerant of poor soil and prefers loose, well-drained soil."
"Catmint Seeds Pink Panther","Compact and tidy, this Japanese catmint and its mesmerizing blue blooms attract a range of pollinators. The plants reach just 12-20 inches tall and fit perfectly into beds, borders, and containers. Nepeta subsessilis is also known as Japanese catmint. The blooms are larger than other types of catmints, and we especially appreciate the fragrance of the flowers. This bushy and colorful mounding plant is technically a perennial, but it will bloom in the first year and can be treated as an annual. Perennial in zones 4-98-12 hrs of SunSprouts in 7-14 DaysIdeal Temperature: 70-75 FSeed Depth: Surface SowPlant Spacing: 12-18\"Frost Hardy: NoNepeta subsessilis","Surface sow, gently pressing into soil; cover lightly. Alternately you can start indoors and transplant after last frost. Shear plants occasionally to renew them; self-sows readily. Same genus and species as catnip, but catmint grows in more tidy clumps and does not reseed as easily. Catmint is more ornamental and a bit less tolerant of poor soil and prefers loose, well-drained soil."
"Catnip Seeds","The herb that drives cats wild is also medicinal; used in a tasty herbal tea for colds and flu. Vigorous plant.6-12 hours of SunSprouts in 7-14 DaysIdeal Temperature: 70-75 FSeed Depth: Surface SowPlant Spacing: 12-18\"Frost Hardy: NoNepeta cataria","Surface sow, gently pressing into soil; cover lightly. Alternately you can start indoors and transplant after last frost. Shear plants occasionally to renew them; self-sows readily."
"","A member of the mint family, it is native to southern Africa and is used there as a folk medicine for treating numerous ailments, and has shown some promise in studies. Tall, evergreen tropical plant produces loads of stunning peachy-orange flowers. Caution: this plant is a mild narcotic.6-12 hours of SunSprouts in 7-21 DaysIdeal Temperature: 65-70 Degrees FSeed Depth: 1/8\"Plant Spacing: 12\"Frost Hardy: NoLeonotis nepetifolia","Start seeds indoors in early spring, lightly covering and keeping very warm. Set out plants after all danger of frost is past. May be direct sown outdoors long-summer climates. Revels in hot weather."
"Marigold Seeds Sweet Mace","Enjoy this late-blooming marigold in teas and other drinks; a great flavoring for many dishes. This old Hispanic heirloom is hard to find nowadays, but is still a great garden plant that is easy to grow and quite flavorful.Tender PerennialFull SunSprouts in 5-10 DaysSeed Depth: 1/4\"Ideal Temperature: 75-80 FPlant Spacing: 8-12\"Frost Hardy: NoTagetes lucida","For transplanting, sow indoors 3-4 weeks before last frost. Direct sow after last spring frost in ordinary garden soil. Thrives in full sun and summer heat. Remove spent flowers to prolong blooming period."
"Mint Seeds Greek Mountain Tea","Brew a mellow and minty cup of herbal tea or attract pollinators to the garden with this delicious herbaceous perennial. Endemic to the mountainous areas of the Balkan peninsula, this low-growing sub-shrub reaches 15 inches tall and about 1 foot wide. Also known as ironwort, the leaves are long and sword shaped, with a silvery color and slightly fuzzy texture. Perennial zones 7-11Sprouts: 10 - 14 daysIdeal Temp: 55 - 90Seed Depth: Surface SowPlant Spacing: 12\"Frost Hardy: YesPartial SunSideritis scardica","Prefers part shade to full sun. Provide moist, well-drained soil. Space plants 18-24 inches apart. Plant reaches 6-12 inches. "
"Mint Seeds Marvelous Mix","This is perhaps the most powerful perennial to invite into your landscape. Countless beneficial insects are absolutely enchanted by mint, while many pesky garden pests are repulsed by it. Growing mint from seed is a lesson in the beauty of chaos in the natural world, as the busy activity of insect pollinators causes a wide spectrum of mint flavors. We love the element of surprise in growing mint from seed. While the flavors may range from spearmint to peppermint or applemint,  the purported medicinal and pest-repelling benefits remain the same. Perennial from zones 4-9, mint will thrive in most gardens. It is quite competitive and belongs in the herb bed or in a contained location.  Many folks simply clip the leaves and use as mulch around plants in the vegetable garden to harness the pest-repelling benefits without letting this aggressive plant grow in the vegetable garden.4-12 hours of SunSprouts in 10-14 DaysIdeal Temperature: 55-90 Degrees FSeed Depth: Surface SowPlant Spacing: 12\"Frost Hardy: YesMentha mix","Surface sow, gently pressing seeds into soil (requires light to germinate). Limit spread by creating root barriers in the soil, or grow in containers off the ground. Ample water support the most lush growth."
"Mint Seeds Mountain","This top pollinator favorite is easy to grow from seed and to care for. It’s loaded with nectar, so the subtly spotted flowers hum with life. Because of its strong smell, mammals won’t bother it, yet it’s a delight in the gardens because simply brushing this plant will release a beautiful mint aroma. The first botanical records of this plant come from French botanist Andre Michaux’s notes from the late 18th century. It naturalizes in dry prairie or glade habitats, but also does well in sunny to partially shaded, drained beds. It can readily spread by rhizomes, but roots can be cut back once a year to prevent spreading. Perennial4-12 hours of SunSprouts in 10-14 DaysIdeal Temperature: 55-90 Degrees FSeed Depth: Surface SowPlant Spacing: 12\"Frost Hardy: YesPycnanthemum pilosum","Surface sow, gently pressing seeds into soil (requires light to germinate). Limit spread by creating root barriers in the soil, or grow in containers off the ground. Ample water support the most lush growth."
"Moldavian Seeds Moldavian Dragonhead Balm","Eurasian native that has been cultivated for centuries. The minty-lemony leaves and large purple flowers have long been used in a tea for reputed herbal benefits, including “lightening a discouraged heart.” Beloved by bees, like all the mint tribe.Annual8-12 hours of SunSprouts in 7-14 DaysIdeal Temperature: 68-70 Degrees FSeed Depth: Surface SowPlant Spacing: 12\"Frost Hardy: NoDracocephalum moldavicum","Start indoors, covering seeds very lightly and keeping moist until sprouts appear. Set outside after last frost or direct sow in the garden, two weeks before last frost. Cutting back after flowering encourages reblooming."
"Mizuna Seeds 605 Summer","A taste of Kyoto’s culinary heritage, this heat-tolerant Mizuna variety was originally bred to withstand the heat and intense humidity of Japan’s interior. Summer Mizuna is incredibly bolt resistant, even in the face of punishing heat and moisture. Mizuna is suitable for several harvests and can be eaten at all stages. This variety is traditionally sown for high summer harvest, when the juicy, watery stems make the most refreshing mid-day snack.6-12 hours of SunSprouts in 5-8 DaysIdeal Temperature: 55-70 Degrees FSeed Depth: 1/4\"Plant Spacing: 6-12\"Frost Hardy: YesBrassica nipposinica","Tolerant of heat and frost but best planted in cool spring or fall conditions. Sow in place. Prefers rich soil; harvest individual leaves or cut entire plant."
"Mizuna Seeds Early","A traditional variety from the mountainous Kyoto region of Japan. This variety boasts superb cold tolerance, especially during the germination stage, making Early mizuna well adapted to an early spring sowing. This variety will remain tender, even after several harvests and will not readily go to seed. Harvest as micro, baby or mature greens, and cut-and-come-again up to five times for a super high-quality green.  It has long stems that are tender, juicy, and dark, as well as nutritious greens. 40 days6-12 hours of SunSprouts in 5-8 DaysIdeal Temperature: 55-70 Degrees FSeed Depth: 1/4\"Plant Spacing: 6-12\"Frost Hardy: YesBrassica nipposinica","Tolerant of heat and frost but best planted in cool spring or fall conditions. Sow in place. Prefers rich soil; harvest individual leaves or cut entire plant."
"Mizuna Seeds Japanese Pink","A delicious and ornamental mizuna from Japan. A perfectly pleasing combination of dense nutrition, rich flavor, and eye appeal. The stems of this variety are a lavender-pink hue, which indicates high levels of the antioxidant anthocyanin. The delicious leaves will often take on a pink color as well when grown in favorable conditions! Mizuna is one of the healthiest vegetables that you can grow. It is a good source of vitamin C, as well as folate and the powerful antioxidant glucosinolate. This feathery light green is suitable for raw eating in complex and flavorful salads or try steaming or stir frying. An upscale Japanese leafy green, essential for high-end, gourmet culinary experimentation, or anyone looking to introduce a scrumptious new superfood into their repertoire.6-12 hours of SunSprouts in 5-8 DaysIdeal Temperature: 55-70 Degrees FSeed Depth: 1/4\"Plant Spacing: 6-12\"Frost Hardy: YesBrassica juncea","Tolerant of heat and frost but best planted in cool spring or fall conditions. Sow in place. Prefers rich soil; harvest individual leaves or cut entire plant."
"Mizuna Seeds Japanese Red Mustard","This peppery mustard green that is beloved in Japan and commonly found in gourmet salad mix. The frilly, lace-like foliage packs loads of zippy hot flavor, and is excellent added to salads, soups and stir fry. A reliable variety for the farmer or gardener. It can be sowed densely (1 inch apart) and harvested many times for baby greens (25 days) or thinned to 4-6 inches apart and allowed to mature to full size (about 36 inches mature height). This cool season-loving green turns a deeper shade of purple when exposed to cold. 40 days6-12 hours of SunSprouts in 5-8 DaysIdeal Temperature: 55-70 Degrees FSeed Depth: 1/4\"Plant Spacing: 1-6\"Frost Hardy: YesBrassica rapa","Tolerant of heat and frost but best planted in cool spring or fall conditions. Sow in place. Prefers rich soil; harvest individual leaves or cut entire plant."
"Molokhia Seeds Giant of Bertroua","(Moloukiyah) Molokhia, once known as Jew’s Mallow or Jute Mallow, is a widely cultivated, delicious green grown throughout the Middle East and Africa. Most forms grown are relatively modest in size, getting to about 3 feet in height. Not this variety! The Giant of Bertroua comes from Bertroua, Cameroon. It is a well-known cultivar with long, large leaves, and the plants can easily reach 10 feet in height. The big, tender leaves can be eaten fresh, in a myriad of cooked dishes; dried leaves are also readily transformed into soups and side dishes. A delicious, extremely nutritious green that has a reputation for helping digestion because of its viscous character. Sprouts: 14 - 21 daysIdeal Temp: 60Seed Depth: 1/4 inchPlant Spacing: 12 - 24\"Frost Hardy: NoFull SunCorchorus olitorius","Cold-stratify 4-6 weeks, grow indoors, and set transplants out after frost. Or direct seed in late winter, very early spring. "
"Morning Glory Seeds Giant Moonflower","Long, vigorous vines grow to 20 feet; giant white flowers can measure over 7 inches across! Excellent for planting in night gardens. Full Sun/Part SunSprouts in 5-21 DaysSeed Depth: 1/4-1/2\"Ideal Temperature: 70-75 FPlant Spacing: 8-10\"Frost Hardy: NoIpomoea alba"," Direct sow as soon as soil has warmed to 55 degrees. Soak seeds for 24 hours before planting. Provide support for the rambling vines, and expect flowers all summer."
